,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,游戏,BK1046,1217.07,44.09,3.76,398459024000,7.67,26,2,巨人网络,9.98
1,2,电源设备,BK1034,1916.42,47.74,2.55,353493504000,1.5,20,5,欧陆通,12.44
2,3,教育,BK0740,713.47,13.13,1.87,94075326000,3.68,14,4,*ST文化,20.0
3,4,消费电子,BK1037,1140.88,18.78,1.67,1585049376000,2.97,72,17,惠威科技,10.03
4,5,软件开发,BK0737,917.29,14.98,1.66,2374005760000,6.01,121,55,三六零,10.03
5,6,互联网服务,BK0447,21833.17,341.13,1.59,1773529120000,6.66,103,37,返利科技,10.03
6,7,文化传媒,BK0486,8681.73,126.87,1.48,1088808672000,3.78,81,25,智度股份,9.98
7,8,电机,BK1030,1470.82,19.48,1.34,153125391000,1.33,17,4,兆威机电,10.0
8,9,光学光电子,BK1038,1199.31,10.83,0.91,1010410960000,1.93,65,29,太龙股份,5.86
9,10,光伏设备,BK1031,1843.08,16.5,0.9,2007007952000,2.36,36,12,ST中利,5.01
10,11,风电设备,BK1032,1257.38,10.32,0.83,363162048000,1.08,15,6,海力风电,5.21
11,12,电池,BK1033,1229.9,9.51,0.78,2120506448000,1.45,40,13,紫建电子,8.88
12,13,房地产开发,BK0451,14361.31,108.97,0.76,1431746848000,1.22,76,23,大悦城,10.08
13,14,电网设备,BK0457,22177.86,166.28,0.76,1173894816000,1.47,89,36,智洋创新,13.76
14,15,家电行业,BK0456,16134.53,120.2,0.75,1754785344000,1.59,56,32,三星新材,10.01
15,16,塑料制品,BK0454,11113.74,73.86,0.67,388087184000,1.3,52,24,阿科力,5.13
16,17,房地产服务,BK1045,1000.69,6.54,0.66,95465517000,2.3,10,7,汇通能源,5.94
17,18,玻璃玻纤,BK0546,39828.26,256.04,0.65,421278016000,1.02,13,8,宏和科技,4.19
18,19,化纤行业,BK0471,13832.32,75.8,0.55,619855616000,0.62,15,12,蒙泰高新,3.42
19,20,包装材料,BK0733,975.48,5.2,0.54,147397170000,1.86,15,14,珠海中富,9.97
20,21,计算机设备,BK0735,1018.56,4.7,0.46,995338896000,4.55,27,23,同方股份,9.97
21,22,酿酒行业,BK0477,65597.39,289.18,0.44,4970070016000,0.8,25,15,珠江啤酒,4.0
22,23,旅游酒店,BK0485,15960.03,64.21,0.4,658989104000,2.11,23,11,西安旅游,4.97
23,24,汽车零部件,BK0481,27286.49,108.03,0.4,1464259536000,1.21,125,70,德赛西威,9.49
24,25,通用设备,BK0545,25720.23,97.23,0.38,1037056096000,1.82,105,82,华中数控,11.43
25,26,农牧饲渔,BK0433,14152.99,50.49,0.36,1080000528000,1.08,43,31,中宠股份,4.97
26,27,仪器仪表,BK0458,12228.09,43.47,0.36,317297936000,2.21,33,26,金卡智能,5.75
27,28,家用轻工,BK0440,34754.57,112.42,0.32,170466302000,1.58,15,11,高乐股份,4.5
28,29,食品饮料,BK0438,25332.87,77.56,0.31,1929775648000,1.05,82,36,百合股份,6.92
29,30,综合行业,BK0539,9293.85,26.28,0.28,186284049000,1.43,12,10,常山北明,9.96
30,31,通信服务,BK0736,978.43,2.52,0.26,2995959424000,3.52,26,14,平治信息,8.72
31,32,造纸印刷,BK0470,8189.28,17.4,0.21,244037066000,1.17,16,17,鸿博股份,10.03
32,33,电子化学品,BK1039,1460.42,2.86,0.2,194148369000,3.91,10,10,三孚新科,6.2
33,34,电子元件,BK0459,19475.86,37.83,0.19,1788543184000,2.46,63,64,奥比中光-UW,8.71
34,35,专用设备,BK0910,2136.9,3.16,0.15,1650459056000,1.64,117,111,智立方,10.11
35,36,化学制品,BK0538,24233.48,27.18,0.11,1540759600000,1.17,74,68,润禾材料,7.19
36,37,航空机场,BK0420,4997.27,2.72,0.05,858835008000,0.68,3,10,海控B股,4.96
37,38,小金属,BK1027,1713.68,0.62,0.04,689395568000,1.09,17,20,铂科新材,6.45
38,39,有色金属,BK0478,14834.41,2.26,0.02,1005762736000,1.04,37,33,天山铝业,3.92
39,40,汽车服务,BK1016,1095.47,0.13,0.01,112448432000,0.6,6,7,中国汽研,3.57
40,41,商业百货,BK0482,14981.11,-3.68,-0.02,529631056000,0.88,24,37,中兴商业,7.3
41,42,电力行业,BK0428,15183.87,-9.9,-0.07,2634194160000,0.54,28,50,银星能源,10.02
42,43,珠宝首饰,BK0734,429.67,-0.37,-0.09,170748185000,1.31,6,10,明牌珠宝,4.41
43,44,专业服务,BK1043,1068.91,-1.44,-0.13,227739023000,1.63,13,20,零点有数,5.42
44,45,橡胶制品,BK1018,1042.84,-1.81,-0.17,250327921000,0.83,13,15,川环科技,5.74
45,46,通信设备,BK0448,10864.58,-20.25,-0.19,1271738144000,4.57,45,60,剑桥科技,9.99
46,47,交运设备,BK0429,7751.29,-16.25,-0.21,598505872000,0.74,19,27,交大思诺,3.79
47,48,证券,BK0473,115954.87,-277.85,-0.24,2854654960000,0.56,11,32,湘财股份,4.31
48,49,非金属材料,BK1020,1104.17,-2.87,-0.26,407363744000,1.23,11,14,坤彩科技,5.32
49,50,化肥行业,BK0731,1349.56,-3.67,-0.27,415430592000,0.81,5,19,芭田股份,3.56
50,51,环保行业,BK0728,411.82,-1.15,-0.28,590910512000,1.48,42,68,*ST博天,4.97
51,52,农药兽药,BK0730,1162.71,-3.28,-0.28,372021520000,1.11,17,27,蓝丰生化,3.33
52,53,贸易行业,BK0484,8679.96,-26.9,-0.31,292562912000,1.66,9,23,利尔达,4.46
53,54,美容护理,BK1035,876.45,-2.79,-0.32,434655328000,1.04,11,16,倍加洁,1.71
54,55,化学原料,BK1019,864.07,-3.09,-0.36,938934864000,0.72,27,42,中毅达,4.14
55,56,航天航空,BK0480,41641.7,-149.69,-0.36,787989920000,1.65,12,25,景嘉微,11.81
56,57,工程机械,BK0739,1099.25,-4.28,-0.39,574888016000,1.45,13,20,华电重工,5.0
57,58,钢铁行业,BK0479,7246.37,-28.84,-0.4,981148240000,0.62,15,29,凌钢股份,4.26
58,59,医药商业,BK1042,1133.38,-5.14,-0.45,412869520000,1.05,10,19,药易购,3.67
59,60,公用事业,BK0427,7053.31,-33.81,-0.48,160657602000,0.72,4,15,杭州热电,4.53
60,61,能源金属,BK1015,675.11,-3.33,-0.49,525257136000,0.88,2,8,盛屯矿业,0.84
61,62,医疗器械,BK1041,938.58,-5.07,-0.54,1746885408000,1.64,36,78,兰卫医学,12.9
62,63,水泥建材,BK0424,27513.26,-148.7,-0.54,496048160000,1.16,8,23,宁夏建材,4.86
63,64,纺织服装,BK0436,10635.19,-58.93,-0.55,562480064000,1.09,29,72,遥望科技,3.23
64,65,燃气,BK1028,1341.65,-7.44,-0.55,283274816000,0.48,7,22,ST金鸿,1.01
65,66,汽车整车,BK1029,1217.31,-6.87,-0.56,1678685424000,0.94,9,13,宇通客车,1.89
66,67,生物制品,BK1044,908.1,-5.39,-0.59,1262563264000,1.02,22,42,未名医药,4.14
67,68,装修装饰,BK0725,467.3,-3.01,-0.64,157097041000,1.79,15,30,华凯易佰,8.41
68,69,装修建材,BK0476,14352.22,-92.65,-0.64,662322320000,1.23,12,54,万里石,3.5
69,70,石油行业,BK0464,5029.37,-38.04,-0.75,2671024288000,0.32,3,16,新潮能源,3.67
70,71,航运港口,BK0450,9126.39,-71.69,-0.78,952045888000,0.58,6,28,招商港口,4.74
71,72,银行,BK0475,2780.95,-22.18,-0.79,9494327296000,0.17,3,36,中信银行,0.91
72,73,化学制药,BK0465,29123.29,-234.54,-0.8,1757195232000,0.98,35,107,康乐卫士,5.41
73,74,煤炭行业,BK0437,9872.17,-85.87,-0.86,1588453008000,0.66,5,27,宝泰隆,1.66
74,75,铁路公路,BK0421,6349.38,-57.94,-0.9,351972256000,0.54,8,22,外服控股,1.85
75,76,多元金融,BK0738,542.3,-5.05,-0.92,390590816000,1.12,6,17,香溢融通,0.96
76,77,物流行业,BK0422,6266.82,-59.24,-0.94,1165665520000,0.47,9,45,ST万林,2.94
77,78,医疗服务,BK0727,1304.54,-13.9,-1.05,1077124496000,1.44,11,30,迈普医学,2.65
78,79,半导体,BK1036,1373.56,-15.27,-1.1,3502287872000,4.23,30,106,寒武纪-U,9.58
79,80,工程咨询服务,BK0726,582.25,-7.64,-1.3,142497590000,4.24,6,33,甘咨询,10.04
80,81,工程建设,BK0425,21311.21,-309.85,-1.43,1681571168000,1.66,10,62,苏文电能,4.91
81,82,船舶制造,BK0729,761.51,-12.31,-1.59,314445952000,1.07,2,7,江龙船艇,0.5
82,83,采掘行业,BK1017,1034.75,-17.41,-1.65,304555952000,1.14,2,18,海油发展,1.27
83,84,保险,BK0474,986.13,-17.62,-1.76,2396446048000,0.21,0,6,天茂集团,-0.9
84,85,中药,BK1040,1536.07,-34.84,-2.22,1064359696000,1.72,8,63,ST太安,1.07
85,86,贵金属,BK0732,978.6,-28.17,-2.8,603319280000,1.76,1,10,湖南黄金,0.59
