板块名称,股票个数
IT服务,40
LED,3
专业工程,10
专业服务,7
专业连锁,4
专用设备,36
个护用品,1
中药,25
乘用车,2
乳品,3
互联网电商,3
产业地产,7
人工景点,1
仪器仪表,4
休闲食品,9
传媒,49
住宅开发,25
体外诊断,11
保险,1
保险及其他,20
光伏设备,29
光学元件,5
光学光电子,19
公路铁路运输,9
其他专用设备,15
其他交运设备,7
其他传媒,20
其他农产品加工,2
其他化学制品,10
其他化学原料,8
其他医疗服务,10
其他塑料制品,1
其他家用轻工,1
其他小金属,11
其他建材,5
其他橡胶制品,4
其他生物制品,13
其他电子,4
其他电源设备,11
其他白色家电,2
其他社会服务,7
其他种植业,1
其他纤维,3
其他纺织,2
其他自动化设备,5
其他通信设备,1
其他通用设备,4
其他酒类,2
其他金属新材料,3
其他食品,4
其他黑色家电,2
养殖业,7
军工电子,22
农业服务,5
农产品加工,8
农商行,6
农用机械,2
农药,8
冶钢原料,6
出版,10
分立器件,10
制冷空调设备,2
动物保健,5
包装,4
包装印刷,4
化妆品,4
化学制剂,37
化学制品,51
化学制药,52
化学原料,24
化工合成材料,20
医疗器械,42
医疗服务,18
医疗研发外包,8
医疗耗材,17
医疗设备,14
医药商业,11
半导体及元件,86
半导体材料,6
半导体设备,8
印制电路板,11
原料药,15
厨卫电器,2
合成树脂,2
品牌消费电子,4
商业地产,5
商业物业经营,4
商用载客车,1
商用载货车,8
啤酒,2
固废治理,9
国防军工,55
地面兵装,5
城商行,11
基础建设,7
复合肥,2
多元金融,19
家具,5
家用轻工,13
家纺,1
小家电,8
小家电Ⅲ,10
小金属,24
工业金属,29
工控设备,4
工程咨询服务,1
工程机械,6
广告营销,7
建筑材料,17
建筑装饰,23
彩电,4
影视院线,6
房地产开发,37
房地产服务,1
房屋建设,3
改性塑料,1
教育,1
数字媒体,6
文娱用品,2
新能源发电,15
旅游综合,1
无机盐,3
普钢,15
景点及旅游,2
有机硅,3
有线电视网络,6
服装,7
服装家纺,8
机器人,4
机场,3
机场航运,5
机床工具,4
棉纺,1
楼宇设备,2
民爆用品,3
氟化工,8
氨纶,2
氯碱,9
水务及水治理,6
水泥,6
水电,1
汽车整车,11
汽车服务,4
汽车服务Ⅲ,4
汽车零部件,30
油品石化贸易,1
油服工程,4
油气开采,2
油气开采及服务,6
消费电子,18
消费电子零部件及组装,14
涤纶,3
港口,9
港口航运,16
游戏,14
激光设备,6
火电,15
炭黑,1
热力,2
焦炭加工,4
煤炭开采,16
煤炭开采加工,20
燃气,5
燃气Ⅲ,5
物流,16
特钢,5
环保,20
环保设备,4
玻璃玻纤,4
瓷砖地板,1
生物制品,25
电力,42
电力设备,118
电子化学品,11
电机,6
电气自控设备,5
电池,43
电能综合服务,9
畜禽养殖,7
疫苗,8
白色家电,3
白酒,8
百货零售,5
石油加工,4
石油加工贸易,5
磁性材料,6
磨具磨料,1
磷肥及磷化工,6
种子生产,4
种植业与林业,7
稀土,3
空调,1
管材,1
粘胶,1
粮食种植,2
纯碱,2
纺织制造,4
纺织化学用品,1
纺织服装设备,2
线缆部件及其他,5
综合环境治理,1
美容护理,5
耐火材料,1
聚氨酯,3
肉制品,2
能源及重型设备,9
能源金属,10
膜材料,2
自动化设备,19
航天装备,3
航海装备,5
航空装备,20
航空运输,2
航运,7
血液制品,4
被动元件,5
装饰园林,2
计算机应用,78
计算机设备,11
证券,33
调味发酵品,7
贵金属,7
贵金属Ⅲ,6
贸易,4
轨交设备,2
软件开发,38
软饮料,2
辅料,1
输变电设备,7
通信服务,4
通信服务Ⅲ,1
通信线缆及配套,2
通信终端及配件,9
通信网络设备及器件,9
通信设备,21
通用设备,16
造纸,7
酒店,2
酒店及餐饮,2
金属制品,5
金属新材料,9
钛白粉,2
钢铁,26
钾肥,3
铁路运输,2
铅锌,9
铜,9
铝,11
银行,17
集成电路制造,1
集成电路封测,8
集成电路设计,37
零售,13
非汽车交运,9
非金属材料,4
非金属材料Ⅲ,13
面板,11
风电设备,12
食品加工制造,25
食品及饲料添加剂,6
饮料制造,14
饰品,4
饲料,6
高速公路,7
黑色家电,6
